prompt_index,label,identity_1_to_5,background_1_to_5,motion_1_to_5,camera_1_to_5,artifact_1_to_5,prompt_alignment_1_to_5,startup_flashback_0_or_1,abrupt_jump_0_or_1,overall_rank,failure_time_seconds,notes
29,M,,,,,,,,,,,
29,N,,,,,,,,,,,
29,O,,,,,,,,,,,
29,P,,,,,,,,,,,
30,A,,,,,,,,,,,
30,B,,,,,,,,,,,
30,C,,,,,,,,,,,
30,D,,,,,,,,,,,
30,E,,,,,,,,,,,
30,F,,,,,,,,,,,
30,G,,,,,,,,,,,
30,H,,,,,,,,,,,
30,I,,,,,,,,,,,
30,J,,,,,,,,,,,
30,K,,,,,,,,,,,
30,L,,,,,,,,,,,
30,M,,,,,,,,,,,
30,N,,,,,,,,,,,
30,O,,,,,,,,,,,
30,P,,,,,,,,,,,
31,A,,,,,,,,,,,
31,B,,,,,,,,,,,
31,C,,,,,,,,,,,
31,D,,,,,,,,,,,
31,E,,,,,,,,,,,
31,F,,,,,,,,,,,
31,G,,,,,,,,,,,
31,H,,,,,,,,,,,
31,I,,,,,,,,,,,
31,J,,,,,,,,,,,
31,K,,,,,,,,,,,
31,L,,,,,,,,,,,
31,M,,,,,,,,,,,
31,N,,,,,,,,,,,
31,O,,,,,,,,,,,
31,P,,,,,,,,,,,
